,Heating QC,house_score,exter_score,fireplace_score,garage_score,kitchen_score,total_baths,basement_score
730,4,10,6,0,5.0,3,1,5
731,5,13,7,0,,4,2,7
732,5,11,6,3,9.0,3,3,7
733,5,13,7,4,,4,3,7
734,3,11,6,0,7.0,3,1,7
735,2,10,6,3,7.0,3,2,6
736,5,10,6,0,7.0,3,2,7
737,5,11,6,1,8.0,3,1,6
738,3,12,6,3,7.0,3,2,7
739,3,14,6,0,,3,1,6
740,2,10,6,0,,3,1,6
741,5,12,7,3,,4,2,7
742,5,12,7,3,7.0,4,3,6
743,5,11,6,4,7.0,3,1,6
744,3,11,6,0,7.0,3,1,6
745,4,14,9,3,9.0,3,3,8
746,5,10,6,3,7.0,3,2,6
747,5,12,6,3,,3,3,7
748,3,12,6,1,,3,3,6
749,3,14,6,0,7.0,3,1,6
750,5,13,7,8,,4,2,8
751,5,13,7,0,,4,2,7
752,4,11,6,0,7.0,3,1,6
753,2,11,6,3,7.0,3,3,7
754,3,12,7,2,,3,2,6
755,4,9,6,0,7.0,3,1,6
756,5,11,6,0,7.0,5,2,6
757,5,14,8,10,9.0,5,2,8
758,3,11,6,0,4.0,3,1,4
759,4,10,6,0,9.0,3,3,8
760,5,13,7,4,9.0,4,2,7
761,5,12,6,3,7.0,3,1,6
762,5,12,7,3,9.0,4,3,7
763,4,9,6,1,7.0,3,2,6
764,5,13,6,6,9.0,4,2,6
765,4,14,6,0,,3,2,6
766,5,13,7,8,9.0,4,2,9
767,4,12,6,3,9.0,3,3,7
768,5,12,7,0,,4,2,7
769,5,13,7,8,9.0,4,3,7
770,5,11,6,3,7.0,4,2,7
771,5,12,7,3,7.0,3,3,7
772,4,12,6,4,7.0,4,2,0
773,3,9,6,0,7.0,6,2,6
774,5,13,6,8,9.0,3,3,6
775,3,9,6,0,7.0,3,1,6
776,5,11,6,0,7.0,6,2,6
777,5,12,7,0,9.0,4,3,7
778,3,14,7,0,,3,1,6
779,5,10,6,0,7.0,3,2,6
780,2,11,6,0,,6,2,6
781,5,11,7,3,7.0,4,3,7
782,5,14,7,4,9.0,5,4,8
783,3,10,6,0,5.0,3,1,6
784,4,13,7,0,9.0,3,1,7
785,3,11,6,0,7.0,3,2,6
786,3,10,6,4,7.0,3,1,7
787,5,13,7,4,9.0,4,2,7
788,3,12,6,3,7.0,3,1,7
789,5,12,7,5,,4,2,8
790,3,12,6,0,,4,2,6
791,3,13,6,6,,4,2,7
792,5,12,7,0,7.0,4,2,7
793,3,11,7,3,7.0,4,2,7
794,5,13,7,3,,4,3,7
795,4,10,6,8,7.0,3,2,7
796,3,14,7,6,9.0,4,1,7
797,4,13,6,0,7.0,3,1,7
798,5,12,7,0,,4,2,7
799,5,12,7,4,,4,3,7
800,3,12,6,3,9.0,4,3,7
801,3,11,6,0,7.0,3,1,6
802,3,12,6,0,7.0,3,1,6
803,5,13,6,3,9.0,3,3,6
804,3,5,6,0,,3,2,6
805,4,12,7,0,,4,4,7
806,3,12,6,0,7.0,3,1,6
807,5,12,5,2,7.0,3,1,5
808,5,12,7,4,9.0,4,3,8
809,5,12,6,4,7.0,3,1,6
810,3,10,6,0,7.0,3,1,6
811,3,12,7,0,,3,1,6
812,5,13,7,3,9.0,4,3,7
813,3,11,6,3,9.0,3,3,6
814,3,11,6,0,,6,2,6
815,5,13,7,4,,4,2,7
816,5,12,7,0,9.0,4,2,8
817,5,11,6,8,7.0,3,2,6
818,4,11,6,0,5.0,3,1,5
819,3,9,6,0,9.0,3,1,6
820,3,13,7,0,,3,3,7
821,4,11,5,1,,3,2,6
822,3,10,6,0,,3,1,6
823,5,14,7,5,9.0,4,3,7
824,4,10,7,0,7.0,4,2,6
825,5,12,7,0,7.0,4,3,7
826,5,12,8,3,,4,3,7
827,5,14,7,4,,5,4,8
828,5,12,6,0,,4,1,6
829,3,11,6,0,7.0,6,2,6
830,3,10,6,0,,3,2,6
831,5,12,7,4,9.0,4,2,7
832,3,11,6,0,,3,2,6
833,5,13,7,4,9.0,4,2,8
834,5,13,7,4,,4,2,7
835,2,11,5,3,9.0,3,1,6
836,3,10,6,3,,3,1,7
837,5,13,7,3,9.0,4,2,7
838,4,14,8,0,7.0,5,2,6
839,3,11,6,1,7.0,3,2,7
840,3,10,6,0,,3,1,6
841,4,12,6,3,,3,3,6
842,5,12,7,0,,4,2,7
843,3,13,7,3,9.0,4,1,7
844,4,10,6,2,7.0,3,1,7
845,5,12,7,0,,4,3,7
846,2,11,6,0,9.0,3,2,7
847,3,12,6,4,,3,2,7
848,5,12,6,3,,4,3,7
849,3,12,6,3,7.0,3,1,6
850,3,12,6,0,6.0,3,2,7
851,5,11,6,0,9.0,3,2,8
852,3,11,6,4,7.0,3,2,6
853,5,12,6,0,7.0,4,1,6
854,3,10,6,6,7.0,3,1,7
855,5,13,6,4,9.0,3,2,7
856,4,9,8,0,7.0,6,2,5
857,5,13,6,0,9.0,3,2,7
858,3,12,7,0,7.0,4,1,7
859,5,12,7,0,,4,3,7
860,5,10,6,0,,3,1,6
861,5,14,7,15,9.0,5,2,8
862,5,12,6,0,9.0,3,1,7
863,3,11,6,0,7.0,3,2,6
864,3,11,6,3,,4,2,6
865,3,10,6,6,7.0,8,2,7
866,5,12,7,0,,4,3,7
867,5,11,7,3,9.0,3,2,8
868,4,12,7,3,9.0,4,2,7
869,4,7,4,0,6.0,6,6,6
870,2,10,7,0,7.0,3,2,6
871,5,12,7,4,9.0,4,2,7
872,5,13,7,4,9.0,4,3,8
873,5,12,7,0,,4,2,7
874,3,12,6,3,7.0,3,3,6
875,5,13,8,4,,4,3,6
876,5,10,6,3,7.0,3,1,6
877,3,10,6,0,7.0,3,1,6
878,3,10,7,6,7.0,3,1,6
