,Alley,Lot Shape,Land Contour,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,MS SubClass,MS Zoning,Street,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Mo Sold,Sale Type,Year Built,Year Remod/Add,Garage Yr Blt,Yr Sold,Lot Frontage,Lot Area,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,SalePrice
427,missing,Reg,Lvl,5,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,CBlock,TA,TA,Av,80,RL,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,12,WD ,1978,1978,1978.0,2008,80.0,13014,39.0,528.0,0.0,480.0,1008.0,1096,0,0,1096,484.0,168,0,0,0,0,0,0,157500
428,missing,IR2,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,AllPub,CulDSac,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,7,PConc,Gd,TA,No,60,RL,Pave,ALQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,Fin,3.0,TA,TA,Y,missing,missing,missing,5,WD ,1999,1999,1999.0,2009,0.0,15896,210.0,913.0,0.0,264.0,1177.0,1223,1089,0,2312,658.0,298,0,0,0,0,0,0,245000
429,missing,IR1,HLS,5,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,PConc,Gd,TA,No,120,RL,Pave,GLQ,Unf,GasA,Gd,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,10,WD ,1993,1993,1993.0,2008,41.0,5395,0.0,733.0,0.0,604.0,1337.0,1337,0,0,1337,462.0,96,0,70,168,0,0,0,180000
430,missing,IR2,Lvl,5,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,PConc,Gd,TA,No,160,FV,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,2,1,Gd,4,Typ,0,missing,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,3,WD ,2004,2004,2004.0,2007,0.0,5105,0.0,239.0,0.0,312.0,551.0,551,551,0,1102,480.0,0,60,0,0,0,0,0,148800
431,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,missing,Gd,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,PConc,Gd,TA,No,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,3,WD ,2002,2002,2002.0,2008,75.0,9473,0.0,804.0,0.0,324.0,1128.0,1128,903,0,2031,577.0,0,211,0,0,0,0,0,237000
432,missing,Reg,Bnk,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,2,CBlock,TA,Fa,No,30,RL,Pave,Rec,Unf,GasA,TA,N,FuseF,0.0,0.0,1,0,1,1,Fa,3,Typ,0,missing,Detchd,Unf,1.0,TA,TA,N,missing,missing,missing,1,WD ,1920,1950,1930.0,2009,60.0,8400,0.0,290.0,0.0,0.0,290.0,438,0,0,438,246.0,0,0,0,0,0,0,0,60000
433,missing,Reg,Lvl,5,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,5,CBlock,Gd,Gd,Gd,85,RL,Pave,ALQ,Unf,GasA,Ex,Y,SBrkr,0.0,1.0,1,0,3,1,TA,6,Typ,0,missing,BuiltIn,RFn,2.0,Fa,TA,Y,missing,missing,missing,4,WD ,1976,1976,1976.0,2008,64.0,12102,222.0,456.0,0.0,0.0,456.0,1033,0,0,1033,504.0,224,0,0,0,0,0,0,165000
434,missing,IR2,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,No,60,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,2.0,TA,TA,Y,missing,missing,missing,8,WD ,2003,2003,2003.0,2008,41.0,10905,0.0,0.0,0.0,1129.0,1129.0,1129,1198,0,2327,596.0,0,57,0,0,0,0,0,240000
435,missing,IR1,Lvl,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,PConc,Gd,TA,No,20,RL,Pave,Unf,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,6,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,8,WD ,1992,1993,1992.0,2007,0.0,9556,52.0,0.0,0.0,1168.0,1168.0,1187,0,0,1187,420.0,0,21,0,0,0,0,0,160000
436,missing,Reg,Bnk,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Corner,Gtl,SWISU,Feedr,Norm,2fmCon,1.5Fin,6,CBlock,TA,TA,Av,190,RH,Pave,BLQ,Unf,GasA,TA,N,FuseF,1.0,0.0,1,0,3,1,TA,6,Typ,0,missing,Attchd,Unf,1.0,TA,TA,Y,missing,missing,missing,7,WD ,1945,1950,1945.0,2006,58.0,6430,0.0,780.0,0.0,0.0,780.0,816,524,0,1340,440.0,0,0,0,0,0,0,0,128000
437,missing,Reg,Lvl,5,Gable,CompShg,AsbShng,Plywood,None,TA,TA,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,PConc,missing,missing,missing,90,RL,Pave,missing,missing,GasA,TA,N,FuseP,0.0,0.0,2,0,2,2,Fa,6,Typ,0,missing,missing,missing,0.0,missing,missing,N,missing,missing,missing,6,WD ,1955,1955,missing,2008,65.0,6040,0.0,0.0,0.0,0.0,0.0,1152,0,0,1152,0.0,0,0,0,0,0,0,0,82000
438,missing,IR1,Lvl,8,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,CBlock,TA,TA,No,20,RL,Pave,ALQ,Unf,GasA,Gd,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,5,Typ,2,Gd,Attchd,Unf,2.0,TA,TA,Y,missing,GdWo,missing,7,WD ,1966,2008,1966.0,2009,80.0,14695,210.0,1387.0,0.0,175.0,1562.0,1567,0,0,1567,542.0,0,110,0,0,342,0,0,256000
439,missing,Reg,Lvl,9,Hip,CompShg,VinylSd,VinylSd,None,TA,Gd,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2Story,7,PConc,TA,TA,No,70,RM,Pave,ALQ,Unf,GasA,Ex,Y,SBrkr,0.0,1.0,1,0,3,1,TA,7,Typ,0,missing,Detchd,Unf,2.0,TA,TA,Y,missing,missing,missing,7,WD ,1920,1988,1930.0,2009,50.0,9000,0.0,624.0,0.0,26.0,650.0,832,650,0,1482,324.0,0,0,0,0,0,0,0,143000
440,missing,IR1,HLS,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,PConc,Gd,TA,No,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,7,Typ,0,missing,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,4,New,2006,2007,2007.0,2007,67.0,8368,0.0,0.0,0.0,1689.0,1689.0,1689,0,0,1689,433.0,100,39,0,0,0,0,0,231713
441,missing,IR1,Lvl,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,AllPub,FR2,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,CBlock,Gd,TA,Gd,190,RL,Pave,ALQ,Unf,GasW,TA,Y,SBrkr,1.0,0.0,1,1,3,1,TA,7,Mod,0,missing,2Types,Unf,3.0,TA,TA,N,missing,missing,missing,11,WD ,1969,1990,1969.0,2007,195.0,41600,0.0,1047.0,0.0,53.0,1100.0,1424,0,0,1424,828.0,144,0,0,0,0,0,0,155000
442,missing,Reg,Lvl,7,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,1.0,1,0,2,1,TA,4,Typ,0,missing,Attchd,Unf,1.0,TA,TA,Y,missing,GdWo,missing,4,WD ,1983,1983,1983.0,2008,59.0,6490,0.0,534.0,0.0,282.0,816.0,816,0,0,816,264.0,315,0,0,0,0,0,0,128500
443,missing,Reg,Lvl,8,Gable,CompShg,WdShing,Wd Shng,BrkFace,TA,TA,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,7,BrkTil,TA,TA,No,30,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,2,1,TA,7,Typ,1,Gd,Attchd,Unf,1.0,TA,TA,Y,missing,missing,missing,4,WD ,1921,1950,1921.0,2008,60.0,7290,174.0,0.0,0.0,1228.0,1228.0,1424,0,0,1424,312.0,0,0,90,0,0,0,0,168000
444,missing,IR1,Lvl,9,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,CBlock,TA,TA,No,60,RL,Pave,ALQ,Unf,GasA,Gd,Y,SBrkr,1.0,0.0,1,1,4,1,Gd,7,Typ,0,missing,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,6,WD ,1972,2004,1972.0,2007,0.0,7472,138.0,626.0,0.0,99.0,725.0,725,754,0,1479,484.0,0,32,0,0,0,0,0,184000
445,missing,Reg,Lvl,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,AllPub,Inside,Gtl,NAmes,Artery,Norm,2fmCon,SFoyer,5,CBlock,TA,TA,Av,190,RL,Pave,ALQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,TA,6,Typ,0,missing,missing,missing,0.0,missing,missing,Y,missing,missing,missing,3,WD ,1962,1962,missing,2006,70.0,7000,0.0,953.0,0.0,72.0,1025.0,1025,0,0,1025,0.0,96,80,0,0,0,0,0,124000
446,missing,IR1,Lvl,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,1Story,6,CBlock,TA,TA,No,20,RL,Pave,Unf,Unf,GasA,TA,Y,SBrkr,0.0,0.0,2,0,2,1,TA,6,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,2,WD ,1970,1970,1970.0,2009,0.0,11717,571.0,0.0,0.0,1442.0,1442.0,1442,0,0,1442,615.0,371,0,0,0,0,0,0,185000
447,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,PConc,Gd,TA,No,60,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,11,WD ,2000,2000,2000.0,2006,106.0,11194,40.0,0.0,0.0,1406.0,1406.0,1454,482,0,1936,504.0,188,124,0,0,0,0,0,230500
448,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,Mn,60,RL,Pave,ALQ,Unf,GasA,Ex,Y,SBrkr,0.0,1.0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,RFn,3.0,TA,TA,Y,missing,missing,missing,5,WD ,1998,1998,1998.0,2006,90.0,11250,227.0,796.0,0.0,258.0,1054.0,1070,869,0,1939,555.0,128,84,0,0,0,0,0,227000
449,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,PConc,Gd,TA,No,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,7,Typ,0,missing,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,2,WD ,2005,2005,2005.0,2009,64.0,8633,0.0,193.0,0.0,545.0,738.0,738,738,0,1476,540.0,100,35,0,0,0,0,0,173500
450,missing,Reg,Lvl,6,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,5,CBlock,Gd,TA,Gd,85,RL,Pave,GLQ,Unf,GasA,Gd,Y,SBrkr,1.0,0.0,1,0,3,1,TA,6,Typ,0,missing,Attchd,RFn,1.0,TA,TA,Y,missing,missing,missing,8,WD ,1968,1968,1968.0,2006,70.0,8400,0.0,744.0,0.0,89.0,833.0,898,0,0,898,326.0,143,0,0,0,0,0,0,140000
451,missing,Reg,Lvl,5,Hip,CompShg,VinylSd,VinylSd,missing,Gd,TA,AllPub,Corner,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,PConc,Ex,TA,No,20,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,8,WD ,2006,2007,2006.0,2008,87.0,10037,0.0,666.0,0.0,794.0,1460.0,1460,0,0,1460,480.0,0,20,0,0,0,0,0,247000
452,missing,IR1,Lvl,5,Gable,CompShg,Plywood,HdBoard,BrkFace,TA,TA,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,CBlock,Gd,TA,Gd,85,RL,Pave,GLQ,Unf,GasA,TA,Y,SBrkr,0.0,1.0,1,0,3,1,TA,5,Typ,1,Fa,Basment,Fin,2.0,TA,TA,Y,missing,missing,missing,6,WD ,1978,1978,1978.0,2009,0.0,8014,23.0,456.0,0.0,0.0,456.0,1034,0,0,1034,504.0,0,0,0,0,0,0,0,149900
453,missing,IR1,Lvl,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,CBlock,Gd,TA,Mn,20,RL,Pave,ALQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,3,1,TA,5,Typ,0,missing,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,5,WD ,1978,1978,1978.0,2008,0.0,12250,180.0,781.0,0.0,83.0,864.0,1174,0,0,1174,528.0,211,0,280,0,0,0,0,158000
454,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,PConc,Gd,TA,No,160,FV,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,2,1,Gd,4,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,6,WD ,2003,2003,2003.0,2010,0.0,2403,0.0,244.0,0.0,286.0,530.0,530,550,0,1080,496.0,0,50,0,0,0,0,0,147110
455,missing,Reg,Bnk,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,BrkTil,TA,TA,No,50,RM,Pave,Unf,Unf,GasA,TA,Y,SBrkr,0.0,0.0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,Unf,1.0,TA,TA,N,missing,missing,missing,6,WD ,1937,1950,1937.0,2006,50.0,8600,0.0,0.0,0.0,780.0,780.0,780,596,0,1376,198.0,0,0,0,0,0,0,0,119500
456,missing,Reg,HLS,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,CBlock,TA,TA,No,50,RL,Pave,ALQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,1,2,1,TA,6,Min2,2,TA,Detchd,Unf,2.0,TA,TA,Y,missing,GdPrv,missing,2,WD ,1940,1950,1961.0,2009,60.0,13680,0.0,728.0,0.0,112.0,840.0,840,727,0,1567,440.0,0,21,150,0,0,0,0,205000
457,Grvl,Reg,Lvl,9,Gable,CompShg,Wd Sdng,HdBoard,None,TA,Gd,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,CBlock,Gd,TA,Av,70,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,1,1,3,1,Gd,6,Typ,0,missing,missing,missing,0.0,missing,missing,N,missing,missing,missing,7,WD ,1895,1999,missing,2007,60.0,10800,0.0,0.0,0.0,736.0,736.0,751,783,0,1534,0.0,0,112,0,0,0,0,0,148000
458,missing,IR1,Lvl,5,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,PConc,Gd,TA,No,120,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,3,WD ,1995,1996,1995.0,2010,39.0,5389,0.0,1180.0,0.0,415.0,1595.0,1616,0,0,1616,608.0,237,152,0,0,0,0,0,236500
459,missing,Reg,Lvl,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,BrkTil,Fa,TA,No,50,RL,Pave,LwQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,2,0,3,1,Fa,6,Typ,0,missing,Detchd,Unf,1.0,Fa,TA,Y,missing,MnPrv,missing,7,WD ,1938,1950,1938.0,2006,60.0,10890,0.0,930.0,0.0,128.0,1058.0,1058,493,0,1551,240.0,0,0,0,0,0,0,0,137000
460,missing,Reg,Lvl,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,Rec,ALQ,GasA,Gd,Y,SBrkr,1.0,0.0,1,0,2,1,TA,5,Typ,0,missing,Attchd,RFn,1.0,TA,TA,Y,missing,MnPrv,missing,2,WD ,1955,1955,1955.0,2009,68.0,9768,0.0,100.0,247.0,613.0,960.0,960,0,0,960,330.0,0,70,0,0,0,0,0,122000
461,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,PConc,Gd,TA,Av,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,6,Typ,0,missing,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,8,New,2007,2007,2007.0,2007,73.0,8993,0.0,0.0,0.0,1302.0,1302.0,1302,0,0,1302,436.0,0,22,0,0,0,0,0,176485
462,Pave,IR2,Lvl,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,BrkTil,TA,TA,No,30,RL,Pave,Unf,Unf,GasA,TA,Y,FuseA,0.0,0.0,1,0,2,1,TA,4,Typ,0,missing,Detchd,Unf,1.0,Fa,Fa,N,missing,missing,missing,7,WD ,1925,1950,1925.0,2006,50.0,11672,0.0,0.0,0.0,816.0,816.0,816,0,0,816,210.0,168,0,112,0,0,0,0,109000
463,missing,IR1,Lvl,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Gd,TA,AllPub,Inside,Gtl,GrnHill,Norm,Norm,TwnhsE,1Story,7,PConc,Gd,TA,No,120,RM,Pave,GLQ,ALQ,GasA,Ex,Y,SBrkr,1.0,0.0,1,1,1,1,Gd,5,Typ,1,TA,Attchd,Fin,1.0,TA,TA,Y,missing,missing,missing,9,WD ,1998,1998,1998.0,2007,0.0,9763,239.0,1102.0,72.0,328.0,1502.0,1502,0,0,1502,286.0,0,0,0,0,0,0,0,330000
464,Grvl,Reg,Bnk,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,6,PConc,TA,TA,No,20,RM,Pave,GLQ,Unf,GasA,Gd,N,SBrkr,1.0,0.0,1,0,3,1,TA,7,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,12,WD ,2008,2008,2008.0,2008,56.0,9836,0.0,96.0,0.0,96.0,192.0,1133,0,0,1133,308.0,0,175,0,0,0,0,0,143000
465,missing,IR1,Lvl,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,PConc,Ex,TA,Gd,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,Fin,3.0,TA,TA,Y,missing,missing,missing,7,WD ,1998,1998,1998.0,2007,89.0,10557,422.0,672.0,0.0,736.0,1408.0,1671,1407,0,3078,806.0,108,87,0,0,0,0,0,410000
466,missing,IR1,Lvl,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,Gd,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,PConc,Gd,Gd,No,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,1.0,2,1,3,1,Gd,7,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,7,WD ,1994,1994,1994.0,2007,70.0,8462,105.0,814.0,0.0,114.0,928.0,936,785,0,1721,471.0,300,87,0,0,0,0,0,201000
467,Grvl,Reg,Lvl,4,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,BrkTil,Fa,TA,No,50,RL,Pave,Unf,Unf,GasA,TA,Y,FuseA,0.0,0.0,1,1,4,1,TA,7,Typ,1,TA,Detchd,Unf,2.0,Fa,TA,Y,missing,missing,missing,2,COD,1910,1950,1935.0,2006,60.0,10818,0.0,0.0,0.0,1077.0,1077.0,981,779,0,1760,648.0,120,0,96,0,0,0,0,80000
468,missing,IR1,Lvl,8,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,CBlock,TA,TA,No,70,RL,Pave,ALQ,LwQ,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,9,Typ,1,TA,Detchd,Unf,1.0,TA,TA,Y,missing,MnPrv,missing,7,WD ,1945,2002,1945.0,2007,61.0,7259,0.0,774.0,150.0,104.0,1028.0,1436,884,0,2320,180.0,224,0,0,0,0,0,0,259500
469,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,Gd,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,3,1,5,1,Gd,10,Typ,1,Gd,BuiltIn,Fin,2.0,TA,TA,Y,missing,missing,missing,7,WD ,2003,2004,2003.0,2007,0.0,11800,94.0,766.0,0.0,356.0,1122.0,1146,1340,0,2486,452.0,143,32,0,0,0,0,0,279900
470,missing,Reg,Lvl,7,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,LwQ,Rec,GasA,Ex,Y,SBrkr,1.0,0.0,1,1,3,1,Gd,6,Typ,0,missing,Attchd,RFn,1.0,TA,TA,Y,missing,GdPrv,missing,5,WD ,1959,1994,1959.0,2010,75.0,7500,0.0,340.0,906.0,0.0,1246.0,1246,0,0,1246,305.0,218,0,0,0,0,0,0,154000
471,missing,IR2,Low,7,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,Gd,TA,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1.5Fin,6,CBlock,Gd,TA,Gd,50,RL,Pave,Rec,Unf,GasA,Gd,Y,SBrkr,0.0,1.0,2,0,4,1,Gd,7,Typ,2,TA,Attchd,Fin,2.0,TA,TA,Y,missing,missing,Shed,6,WD ,1958,2006,1958.0,2007,0.0,159000,472.0,697.0,0.0,747.0,1444.0,1444,700,0,2144,389.0,0,98,0,0,0,0,500,277000
472,missing,Reg,Lvl,5,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,BrkTil,TA,TA,No,50,RL,Pave,LwQ,Unf,GasA,Ex,N,FuseA,0.0,0.0,1,0,3,1,TA,6,Mod,2,TA,BuiltIn,Unf,1.0,TA,TA,Y,missing,missing,missing,3,WD ,1942,1950,1942.0,2006,62.0,6488,0.0,230.0,0.0,569.0,799.0,799,351,0,1150,215.0,264,0,0,0,0,0,0,128000
473,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,PConc,Gd,TA,No,20,RL,Pave,Unf,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,missing,missing,missing,7,WD ,2007,2007,2007.0,2009,110.0,14230,640.0,0.0,0.0,1566.0,1566.0,1600,0,0,1600,890.0,0,56,0,0,0,0,0,256300
474,missing,IR1,HLS,6,Gable,CompShg,AsbShng,CmentBd,None,TA,Gd,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,4,BrkTil,TA,Gd,No,50,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,4,1,Gd,7,Typ,1,TA,Detchd,Unf,1.0,Fa,TA,Y,missing,missing,missing,11,WD ,1930,2003,1930.0,2007,110.0,7810,0.0,189.0,0.0,741.0,930.0,1230,525,0,1755,231.0,0,40,0,0,0,0,0,188000
